UTC,userName,pair,price,payout,qtMode,balance,timestamp
2025-06-24T16:16:04.597Z,Blade,AED/CNY OTC,1.89465,92,QT Demo,49967.88,06/24/2025 16:16:04
2025-06-24T16:16:14.496Z,Blade,AED/CNY OTC,1.89395,92,QT Demo,49968.8,06/24/2025 16:16:14
2025-06-24T16:16:24.521Z,Blade,AED/CNY OTC,1.89466,92,QT Demo,49967.8,06/24/2025 16:16:24
2025-06-24T16:16:34.542Z,Blade,AED/CNY OTC,1.89444,92,QT Demo,49968.72,06/24/2025 16:16:34
2025-06-24T16:16:44.570Z,Blade,AED/CNY OTC,1.89442,92,QT Demo,49969.64,06/24/2025 16:16:44
2025-06-24T16:16:54.588Z,Blade,AED/CNY OTC,1.89456,92,QT Demo,49970.56,06/24/2025 16:16:54
2025-06-24T16:17:04.606Z,Blade,AED/CNY OTC,1.89495,92,QT Demo,49971.48,06/24/2025 16:17:04
2025-06-24T16:17:14.629Z,Blade,AED/CNY OTC,1.89587,92,QT Demo,49972.4,06/24/2025 16:17:14
2025-06-24T16:17:24.618Z,Blade,AED/CNY OTC,1.89562,92,QT Demo,49973.32,06/24/2025 16:17:24
2025-06-24T16:17:34.623Z,Blade,AED/CNY OTC,1.89516,92,QT Demo,49974.24,06/24/2025 16:17:34
2025-06-24T16:17:44.644Z,Blade,AED/CNY OTC,1.89518,92,QT Demo,49975.16,06/24/2025 16:17:44
2025-06-24T16:17:54.686Z,Blade,AED/CNY OTC,1.89561,92,QT Demo,49976,06/24/2025 16:17:54
2025-06-24T16:18:04.706Z,Blade,AED/CNY OTC,1.89517,92,QT Demo,49977,06/24/2025 16:18:04
2025-06-24T16:18:14.732Z,Blade,AED/CNY OTC,1.89482,92,QT Demo,49978.92,06/24/2025 16:18:14
2025-06-24T16:18:24.753Z,Blade,AED/CNY OTC,1.89486,92,QT Demo,49977.92,06/24/2025 16:18:24
2025-06-24T16:18:34.770Z,Blade,AED/CNY OTC,1.89436,92,QT Demo,49976.92,06/24/2025 16:18:34
2025-06-24T16:18:44.789Z,Blade,AED/CNY OTC,1.89434,92,QT Demo,49975.92,06/24/2025 16:18:44
2025-06-24T16:18:54.811Z,Blade,AED/CNY OTC,1.89426,92,QT Demo,49974.92,06/24/2025 16:18:54
2025-06-24T16:19:04.837Z,Blade,AED/CNY OTC,1.894,92,QT Demo,49973.92,06/24/2025 16:19:04
2025-06-24T16:19:14.866Z,Blade,AED/CNY OTC,1.89356,92,QT Demo,49973.92,06/24/2025 16:19:14
2025-06-24T16:19:24.886Z,Blade,AED/CNY OTC,1.89332,92,QT Demo,49972.92,06/24/2025 16:19:24
2025-06-24T16:19:34.909Z,Blade,AED/CNY OTC,1.89351,92,QT Demo,49971.92,06/24/2025 16:19:34
2025-06-24T16:19:44.932Z,Blade,AED/CNY OTC,1.89345,92,QT Demo,49970.92,06/24/2025 16:19:44
2025-06-24T16:19:54.954Z,Blade,AED/CNY OTC,1.89392,92,QT Demo,49969.92,06/24/2025 16:19:54
2025-06-24T16:20:04.979Z,Blade,AED/CNY OTC,1.89357,92,QT Demo,49968.92,06/24/2025 16:20:04
2025-06-24T16:20:15.002Z,Blade,AED/CNY OTC,1.89284,92,QT Demo,49967.92,06/24/2025 16:20:15
2025-06-24T16:20:25.034Z,Blade,AED/CNY OTC,1.89265,92,QT Demo,49966.92,06/24/2025 16:20:25
2025-06-24T16:20:35.060Z,Blade,AED/CNY OTC,1.89265,92,QT Demo,49964.92,06/24/2025 16:20:35
2025-06-24T16:20:45.085Z,Blade,AED/CNY OTC,1.89317,92,QT Demo,49966.84,06/24/2025 16:20:45
2025-06-24T16:20:55.110Z,Blade,AED/CNY OTC,1.89343,92,QT Demo,49965.84,06/24/2025 16:20:55
2025-06-24T16:21:05.169Z,Blade,AED/CNY OTC,1.89309,92,QT Demo,49964.84,06/24/2025 16:21:05
2025-06-24T16:21:15.141Z,Blade,AED/CNY OTC,1.89377,92,QT Demo,49963.84,06/24/2025 16:21:15
2025-06-24T16:21:25.159Z,Blade,AED/CNY OTC,1.8938,92,QT Demo,49962.84,06/24/2025 16:21:25
2025-06-24T16:21:35.185Z,Blade,AED/CNY OTC,1.89351,92,QT Demo,49961.84,06/24/2025 16:21:35
2025-06-24T16:21:45.205Z,Blade,AED/CNY OTC,1.894,92,QT Demo,49960.84,06/24/2025 16:21:45
2025-06-24T16:21:55.229Z,Blade,AED/CNY OTC,1.89378,92,QT Demo,49958.84,06/24/2025 16:21:55
